QTY,DESCRIPTION,SUBTOTOAL
22,Over 1L,$5.50 
11,Over 1L,$2.75 
20,Over 1L,$5.00 
19,Over 1L,$4.75 
28,PET 1L & Less,$2.80 
37,Misc 1L & Less,$3.70 
28,Beer/Pop Cans,$2.80 
23,Tetra 1L & Less,$2.30 
23,PET 1L & Less,$2.30 
12,Glass 1L & Less,$1.20 
68,Beer/Pop Cans,$6.80 
2,Glass 1L & Less,$0.20 
1,PET 1L & Less,$0.10 
1,Tetra 1L & Less,$0.10 
12,Misc 1L & Less,$1.20 
8,Over 1L,$2.00 
6,Over 1L,$1.50 
24,Glass 1L & Less,$2.40 
12,Glass 1L & Less,$1.20 
18,PET 1L & Less,$1.80 
5,PET 1L & Less,$0.50 
74,Beer/Pop Cans,$7.40 
74,Beer/Pop Cans,$7.40 
,Total:,$65.70 
